Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
237,Battlefield 3,All,2011.0,Shooter,,,Electronic Arts  ,EA DICE  ,,,,,
238,Burnout,Series,2001.0,Racing,,,Acclaim Entertainment  ,Criterion Games  ,,,,,
239,Dead Rising,Series,2006.0,Action-Adventure,,,Capcom  ,Capcom  ,,,,,
240,Famista,Series,1986.0,Sports,,,Namco  ,Namco  ,,,,,
241,Gex,Series,1995.0,Platform,,,BMG Interactive Entertainment  ,Crystal Dynamics  ,,,,,
242,Just Cause,Series,2006.0,Shooter,,,Eidos Interactive  ,Avalanche Studios  ,,,,,
243,Mario & Sonic at the Olympic Games,All,2007.0,Sports,,,Sega  ,Sega Sports R&D  ,,,,,
244,Need for Speed: Underground,All,2003.0,Racing,,,Electronic Arts  ,EA Black Box  ,,,,,
245,Red Dead Redemption,All,2010.0,Action-Adventure,,,Rockstar Games  ,Rockstar San Diego  ,,,,,
246,Sonic the Hedgehog,GEN,1991.0,Platform,,,Sega  ,Sonic Team  ,3.03,0.91,0.26,0.13,4.34
247,The Elder Scrolls Online,All,2014.0,Role-Playing,,,Bethesda Softworks  ,ZeniMax Online Studios  ,,,,,
248,Pokémon Brilliant Diamond / Shining Pearl,NS,2021.0,Role-Playing,,,Nintendo  ,Game Freak  ,,,,,
249,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,9.3,,Sony Computer Entertainment  ,Polyphony Digital  ,6.85,5.09,1.87,1.16,14.98
250,Brain Age 2: More Training in Minutes a Day,DS,2007.0,Misc,8.0,,Nintendo  ,Nintendo SDD  ,3.43,5.36,5.32,1.18,15.29
251,Ring Fit Adventure,NS,2019.0,Misc,,,Nintendo  ,Nintendo EPD  ,,,,,
252,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,8.7,,Activision  ,Infinity Ward  ,9.07,4.29,0.13,1.33,14.82
253,"Pokémon: Let's Go, Pikachu/Eevee",NS,2018.0,Role-Playing,,,Nintendo  ,Game Freak  ,,,,,
