Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Fallout 3,PS3,2008,Role-Playing,8.8,Bethesda Softworks  ,Bethesda Game Studios  ,2.18,1.15,0.07,0.61,4.01
Kirby Star Allies,NS,2018,Platform,8.1,Nintendo  ,HAL Laboratory  ,0.75,0.41,0.72,0.11,1.99
NBA 2K16,PS4,2015,Sports,8.7,2K Sports  ,Visual Concepts  ,2.56,0.66,0.05,0.71,3.98
Far Cry 5,PS4,2018,Action,7.9,Ubisoft  ,Ubisoft  ,1.44,1.73,0.15,0.62,3.94
Battlefield 4,PS4,2013,Shooter,8.3,Electronic Arts  ,EA DICE  ,1.4,1.74,0.19,0.62,3.9499999999999997
Assassin's Creed IV: Black Flag,PS3,2013,Action-Adventure,8.7,Ubisoft  ,Ubisoft Montreal  ,1.34,1.86,0.13,0.62,3.95
Tony Hawk's Underground,PS2,2003,Sports,8.7,Activision  ,Neversoft Entertainment  ,2.29,1.17,0.01,0.42,3.8899999999999997
Professor Layton and the Diabolical Box,DS,2009,Adventure,8.5,Nintendo  ,Level 5  ,0.9,1.76,0.92,0.37,3.95
Sports Champions,PS3,2010,Sports,7.6,Sony Computer Entertainment  ,SCE San Diego Studio  ,2.15,1.13,0.1,0.5,3.88
World Soccer Winning Eleven 8 International,PS2,2005,Sports,9.3,Konami  ,Konami Computer Entertainment Tokyo  ,0.16,1.89,1.12,0.68,3.85
Resident Evil VII: Biohazard,PS4,2017,Action,8.6,Capcom  ,Capcom  ,0.88,1.56,0.41,0.46,3.31
Monster Hunter Freedom Unite,PSP,2009,Role-Playing,7.7,Capcom  ,Capcom Production Studio 1  ,0.47,0.57,4.13,0.34,5.51
Super Mario Maker,3DS,2016,Platform,7.3,Nintendo  ,Nintendo  ,0.78,1.04,1.25,0.16,3.2300000000000004
Ratchet & Clank: Size Matters,PSP,2007,Platform,8.5,Sony Computer Entertainment  ,High Impact Games  ,1.4,1.4,0.1,0.86,3.76
Pokémon Trading Card Game,GB,2000,Strategy,8.3,Nintendo  ,Hudson Soft  ,1.49,0.73,1.38,0.1,3.6999999999999997
FIFA Soccer 2005,PS2,2004,Sports,8.4,EA Sports  ,EA Canada  ,0.58,2.48,0.04,0.59,3.69
The Legend of Zelda: Skyward Sword,Wii,2011,Adventure,9.4,Nintendo  ,Nintendo EAD  ,2.03,1.18,0.37,0.39,3.97
Tony Hawk's Pro Skater 4,PS2,2002,Sports,9.6,Activision  ,Neversoft Entertainment  ,2.13,1.18,0.01,0.35,3.6699999999999995
MySims,DS,2007,Simulation,6.7,Electronic Arts  ,EA Redwood Shores  ,1.58,1.6,0.08,0.4,3.66
